danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.656,0.756,2,-4.026,0,0.3,0.435,0.0,0.0934,0.645,168.031,2kkcJ8tSDV42LdWcPjy6We,188057,4
0.588,0.796,0,-3.945,0,0.262,0.386,0.0,0.198,0.546,192.128,5vLEmh5EolySKTvXsyWSOg,206853,4
0.79,0.891,9,-1.567,1,0.066,0.0555,5.99e-05,0.351,0.367,96.26,41Q5dO5UhYF7ufAZ9wbWHa,157000,4
0.758,0.699,6,-5.636,1,0.171,0.504,0.0,0.0922,0.594,90.013,4AKWHLChPxYdXAB2cHmZB7,208000,4
0.706,0.586,0,-7.473,0,0.11,0.25,0.0,0.392,0.665,95.969,1FGdZ4qCSVcnFYfbQFTkPD,185869,4
0.79,0.853,11,-4.564,0,0.0665,0.00116,4.23e-05,0.329,0.713,124.998,0GU5GuJQQEnnREO2FxnVPT,199874,4
0.763,0.607,5,-9.296,0,0.171,0.128,0.0,0.134,0.82,150.072,77guxF8J9CiQBtYQssMdoD,181366,4
0.76,0.669,0,-5.321,1,0.18,0.489,7.25e-06,0.104,0.715,87.01,3PYvLYdjqxpyDLtsNNvWBY,211681,4
0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,7kuRvjpeUcn6qNV9IBXC2C,304859,4
0.849,0.592,6,-4.309,0,0.102,0.632,2.39e-06,0.108,0.652,89.966,1ZaeaGLhFSckG8sv1y7AWk,179444,4
0.68,0.563,10,-5.843,1,0.0454,0.354,0.0,0.136,0.374,145.028,7dt6x5M1jzdTEt8oCbisTK,231267,4
0.439,0.477,10,-5.638,1,0.0307,0.643,0.0,0.114,0.535,159.819,2gug6MRv4xQFYi9LA3PJCS,287307,4
0.572,0.441,3,-8.496,1,0.0288,0.64,2.32e-05,0.0701,0.268,136.033,1RK1MIBs9oM4RN1eYBfKzN,239000,4
0.708,0.47,9,-7.59,1,0.0659,0.248,0.0,0.0852,0.536,82.007,39afswHs17v53znQm1gDTY,229413,4
0.767,0.379,0,-10.348,1,0.0385,0.668,0.000145,0.217,0.252,103.956,69ZaPBHhRMRDjRpW1ivnOU,230578,4
0.693,0.824,10,-4.606,0,0.0383,0.00353,0.0,0.118,0.386,95.028,3qjaGBUPlPuOWisR11tzDS,200570,4
0.361,0.581,0,-8.502,1,0.0302,0.523,5.42e-06,0.118,0.372,79.59,1mruWrUwAVe2XkksUQiaHK,313671,4
0.685,0.515,1,-5.662,0,0.241,0.62,6.44e-05,0.107,0.664,86.492,7IpRYJ71dk98P0SmgnNLYh,201813,4
0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,25ZAibhr3bdlMCLmubZDVt,222347,4
0.743,0.732,8,-3.981,1,0.1,0.242,0.0,0.0823,0.869,74.65,6gcZbQA0LYz2hfqMAZny7f,220892,4
0.635,0.312,7,-8.134,1,0.0265,0.635,0.0,0.138,0.414,98.017,6eDfe957aV4sqGnDhlSikJ,240118,4
0.355,0.682,10,-8.802,1,0.147,0.529,0.129,0.123,0.463,170.636,73Ec1iE2MDm6Y16Tq2Rz8O,234597,4
0.771,0.638,8,-5.342,1,0.0622,0.0848,0.0,0.104,0.591,124.039,6gaeewGjNiQhWOUkWRSLTa,174291,4
0.347,0.354,0,-7.321,1,0.0343,0.709,0.0,0.31,0.207,172.983,0CXEPVeQDLgDBfvcsQpXq1,228080,1
0.795,0.878,1,-3.261,0,0.278,0.413,0.0,0.0968,0.963,149.971,1oQppEGTHYN53xfEaTz4ua,122435,4
0.737,0.768,7,-4.207,0,0.0434,0.0102,0.000379,0.0961,0.614,122.009,2nNRWUZBeGLuxegmFhJeCZ,188847,4
0.585,0.625,5,-5.94,1,0.109,0.0146,1.8e-06,0.131,0.28,68.68,4iVVU8DyQvOVsKafv3KWIF,185863,4
